Brand,Product Name,Category,Ingredient Details,Ingredient Types,Is Harmful?,Reason for Harmful,Daily Limit,Suitable for Kids,Suitable for Teens,Suitable for Elderly,Nutritional Impact,Healthy Alternative,Alternative Description,Translation Availability,Harmful Ingredient Count,Total Ingredients,Country of Manufacturing,Expiration Detail
McCain,Potato Bites,Frozen Appetizers,"Potato Bites (Potatoes, Sunflower Oil, Seasoning Blend (Salt, Onion Powder, Garlic Powder))","Vegetables, Fats, Spices",Yes,High in Sodium,Occasional Treat,Yes (Limited),Yes,Yes (Limited),"High in Carbohydrates, Moderate in Fat",Baked Potato Wedges,Baked potato wedges with herbs and spices,Yes,1,5,Canada,12 Months
McCain,Steamed Broccoli Florets,Frozen Vegetables,Steamed Broccoli Florets (Broccoli),Vegetables,No,Not Applicable,Not Applicable,Yes,Yes,Yes,Good Source of Vitamins and Fiber,Fresh Broccoli,Steamed or Roasted Fresh Broccoli,Yes,0,1,USA,12 Months
McCain,Crispy Onion Rings,Frozen Appetizers,"Crispy Onion Rings (Onion, Breading (Wheat Flour, Cornstarch), Vegetable Oil)","Vegetables, Grains, Fats",Yes,"High in Sodium, May Contain Allergens",Occasional Treat,Yes (Limited),Yes,Yes (Limited),"High in Carbohydrates, Moderate in Fat",Baked Onion Rings,Baked onion rings with wholeNot Applicablewheat breading,Yes,2,5,Canada,9 Months
McCain,Fish Fillets,Frozen Main Courses,"Fish Fillets (White Fish, Breading (Wheat Flour, Cornstarch), Vegetable Oil)","Seafood, Grains, Fats",Yes,"High in Sodium, May Contain Allergens",2Not Applicable3 Servings Per Week,Yes (Limited),Yes,Yes (Limited),"Good Source of Protein, Moderate in Fat",Baked Fish,Baked or Grilled Fish with Lemon and Herbs,Yes,2,4,USA,6 Months
McCain,Mozzarella Sticks,Frozen Appetizers,"Mozzarella Sticks (Mozzarella Cheese, Breading (Wheat Flour, Cornstarch), Vegetable Oil)","Dairy, Grains, Fats",Yes,"High in Sodium, Saturated Fat",Occasional Treat,Yes (Limited),Yes,Yes (Limited),"High in Calories, Fat, and Sodium",Baked Cheese Sticks,Baked cheese sticks made with reducedNot Applicablefat cheese,Yes,2,4,Canada,3 Months
McCain,Sweet Potato Fries,Frozen Vegetables,"Sweet Potato Fries (Sweet Potatoes, Sunflower Oil)","Vegetables, Fats",Yes,High in Calories,Occasional Treat,Yes (Limited),Yes,Yes (Limited),"High in Carbohydrates, Good Source of Vitamin A",Baked Sweet Potato Fries,Baked sweet potato fries with a sprinkle of cinnamon,Yes,1,2,USA,12 Months
McCain,Garlic Bread,Frozen Appetizers,"Garlic Bread (Bread (Wheat Flour, Yeast, Salt), Garlic, Butter)","Grains, Dairy, Fats",Yes,"High in Sodium, Saturated Fat",Occasional Treat,Yes (Limited),Yes,Yes (Limited),"High in Carbohydrates, Moderate in Fat",WholeNot ApplicableWheat Garlic Bread,WholeNot Applicablewheat bread with garlic and herbs,Yes,2,5,Canada,3 Months
McCain,Mixed Vegetables,Frozen Vegetables,"Mixed Vegetables (Carrots, Peas, Corn, Green Beans)",Vegetables,No,Not Applicable,Not Applicable,Yes,Yes,Yes,Good Source of Vitamins and Fiber,Fresh Mixed Vegetables,Steamed or Roasted Fresh Mixed Vegetables,Yes,0,4,USA,12 Months
McCain,Potato Wedges,Frozen Appetizers,"Potato Wedges (Potatoes, Sunflower Oil, Seasoning Blend (Salt, Onion Powder, Paprika))","Vegetables, Fats, Spices",Yes,High in Sodium,Occasional Treat,Yes (Limited),Yes,Yes (Limited),"High in Carbohydrates, Moderate in Fat",Baked Potato Wedges,Baked potato wedges with herbs and spices,Yes,1,4,Canada,12 Months
McCain,Chicken Nuggets,Frozen Appetizers,"Chicken Nuggets (Chicken Breast, Breading (Wheat Flour, Cornstarch), Vegetable Oil)","Meat, Grains, Fats",Yes,"High in Sodium, May Contain Allergens",2Not Applicable3 Servings Per Week,Yes (Limited),Yes,Yes (Limited),"Good Source of Protein, Moderate in Fat",Baked Chicken Nuggets,Baked chicken nuggets made with wholeNot Applicablewheat breading,Yes,2,4,USA,6 Months
Birds Eye,Mixed Vegetables,Frozen Vegetables,"Mixed Vegetables (Broccoli, Carrots, Peas, Green Beans)",Vegetables,No,Not Applicable,Not Applicable,Yes,Yes,Yes,Good Source of Vitamins and Fiber,Fresh Mixed Vegetables,Steamed or Roasted Fresh Mixed Vegetables,Yes,0,4,USA,12 Months
Green Giant,Sweet Corn,Frozen Vegetables,Sweet Corn,Vegetables,Yes,May Contain Added Sugar,Occasional Treat,Yes,Yes,Yes,"Source of Fiber, Moderate in Sugar",Fresh Corn on the Cob,Grilled or Boiled Fresh Corn,Yes,1,1,USA,12 Months
Birds Eye,Fish Fillets,Frozen Seafood,"Fish Fillets (Cod, Breading)","Seafood, Grains",Yes,"High in Sodium, May Contain Allergens",2Not Applicable3 Servings Per Week,Yes (Limited),Yes,Yes (Limited),"Good Source of Protein, Moderate in Fat",Baked Fish,Baked or Grilled Fish with Lemon and Herbs,Yes,2,2,USA,6 Months
MorningStar Farms,Veggie Burgers,Frozen Meals,"Veggie Burgers (Soy Protein, Vegetables, Grains)","PlantNot ApplicableBased Protein, Vegetables, Grains",Yes,"High in Sodium, May Contain Additives",Occasional Treat,Yes,Yes,Yes,"Good Source of Protein, Low in Fat",Homemade Veggie Burgers,"Homemade veggie burgers with lentils, beans, and whole grains",Yes,2,5,USA,6 Months
Amy's Kitchen,Vegetarian Lasagna,Frozen Meals,"Vegetarian Lasagna (Tofu, Vegetables, Pasta Sauce)","PlantNot ApplicableBased Protein, Vegetables, Grains",Yes,High in Sodium,Occasional Treat,Yes (Limited),Yes,Yes (Limited),"High in Carbohydrates, Moderate in Protein",Homemade Lasagna,Homemade lasagna with wholeNot Applicablewheat pasta and reducedNot Applicablefat cheese,Yes,1,8,USA,3 Months
